,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.598,0.466,0.16,0.689
results_f,RF-FA,f,0.219,0.66,0.727,0.476
results_f,RF-BW,f,0.575,0.632,0.72,0.69
results_f,RF-CORAL,f,0.554,0.564,0.185,0.702
results_f,RF-SA,f,0.6,0.56,0.683,0.559
results_f,LR,f,0.616,0.476,0.207,0.68
results_f,LR-FA,f,0.092,0.664,0.69,0.492
results_f,LR-BW,f,0.717,0.533,0.703,0.608
results_f,LR-CORAL,f,0.503,0.496,0.208,0.679
results_f,LR-SA,f,0.538,0.533,0.69,0.53
results_f_std,RF,f_std,0.026,0.007,0.008,0.004
results_f_std,RF-FA,f_std,0.083,0.019,0.002,0.012
results_f_std,RF-BW,f_std,0.014,0.007,0.003,0.011
results_f_std,RF-CORAL,f_std,0.118,0.028,0.024,0.005
results_f_std,RF-SA,f_std,0.078,0.041,0.005,0.016
results_f_std,LR,f_std,0.001,0.004,0.019,0.001
results_f_std,LR-FA,f_std,0.003,0.002,0.001,0.002
results_f_std,LR-BW,f_std,0.005,0.008,0.002,0.004
results_f_std,LR-CORAL,f_std,0.037,0.012,0.022,0.003
results_f_std,LR-SA,f_std,0.026,0.012,0.002,0.009
results_np,RF,np,0.671/0.327,0.754/0.022,0.109/0.348,0.793/0.529
results_np,RF-FA,np,0.184/0.348,0.773/0.485,0.858/0.238,0.75/0.054
results_np,RF-BW,np,0.642/0.325,0.738/0.468,0.84/0.272,0.796/0.527
results_np,RF-CORAL,np,0.615/0.326,0.737/0.298,0.141/0.348,0.778/0.584
results_np,RF-SA,np,0.689/0.269,0.721/0.312,0.844/0.083,0.726/0.302
results_np,LR,np,0.692/0.33,0.755/0.046,0.171/0.341,0.797/0.501
results_np,LR-FA,np,0.023/0.35,0.796/0.461,0.799/0.281,0.76/0.081
results_np,LR-BW,np,0.834/0.279,0.766/0.173,0.873/0.068,0.781/0.341
results_np,LR-CORAL,np,0.544/0.349,0.753/0.098,0.171/0.344,0.719/0.616
results_np,LR-SA,np,0.589/0.348,0.749/0.201,0.848/0.101,0.77/0.159
results_np_std,RF,np_std,0.034/0.327,0.002/0.022,0.01/0.348,0.001/0.529
results_np_std,RF-FA,np_std,0.106/0.348,0.009/0.485,0.004/0.238,0.004/0.054
results_np_std,RF-BW,np_std,0.019/0.325,0.006/0.468,0.004/0.272,0.004/0.527
results_np_std,RF-CORAL,np_std,0.153/0.326,0.017/0.298,0.03/0.348,0.002/0.584
results_np_std,RF-SA,np_std,0.114/0.269,0.022/0.312,0.011/0.083,0.02/0.302
results_np_std,LR,np_std,0.002/0.33,0.001/0.046,0.024/0.341,0.002/0.501
results_np_std,LR-FA,np_std,0.003/0.35,0.001/0.461,0.002/0.281,0.0/0.081
results_np_std,LR-BW,np_std,0.012/0.279,0.003/0.173,0.003/0.068,0.001/0.341
results_np_std,LR-CORAL,np_std,0.048/0.349,0.008/0.098,0.028/0.344,0.005/0.616
results_np_std,LR-SA,np_std,0.034/0.348,0.006/0.201,0.006/0.101,0.002/0.159
results_np_P,RF,np_P,0.813/0.242,0.608/0.68,0.821/0.213,0.704/0.741
results_np_P,RF-FA,np_P,0.838/0.216,0.687/0.68,0.806/0.364,0.608/0.438
results_np_P,RF-BW,np_P,0.81/0.234,0.674/0.579,0.809/0.329,0.704/0.761
results_np_P,RF-CORAL,np_P,0.813/0.239,0.634/0.549,0.819/0.214,0.728/0.672
results_np_P,RF-SA,np_P,0.797/0.23,0.641/0.499,0.784/0.153,0.629/0.516
results_np_P,LR,np_P,0.815/0.248,0.61/0.623,0.778/0.21,0.695/0.783
results_np_P,LR-FA,np_P,0.893/0.212,0.684/0.81,0.806/0.272,0.615/0.789
results_np_P,LR-BW,np_P,0.81/0.324,0.627/0.798,0.791/0.285,0.655/0.808
results_np_P,LR-CORAL,np_P,0.826/0.235,0.614/0.626,0.802/0.212,0.757/0.577
results_np_P,LR-SA,np_P,0.825/0.239,0.623/0.571,0.787/0.186,0.627/0.953
results_np_R,RF,np_R,0.573/0.508,0.993/0.011,0.058/0.953,0.907/0.412
results_np_R,RF-FA,np_R,0.109/0.914,0.885/0.377,0.917/0.177,0.978/0.029
results_np_R,RF-BW,np_R,0.533/0.533,0.814/0.393,0.873/0.232,0.918/0.403
results_np_R,RF-CORAL,np_R,0.521/0.55,0.882/0.214,0.077/0.936,0.836/0.518
results_np_R,RF-SA,np_R,0.63/0.398,0.84/0.256,0.914/0.058,0.859/0.22
results_np_R,LR,np_R,0.602/0.491,0.991/0.024,0.096/0.898,0.934/0.368
results_np_R,LR-FA,np_R,0.011/0.995,0.951/0.322,0.792/0.29,0.993/0.042
results_np_R,LR-BW,np_R,0.86/0.248,0.984/0.097,0.974/0.039,0.966/0.216
results_np_R,LR-CORAL,np_R,0.408/0.679,0.975/0.055,0.096/0.91,0.685/0.661
results_np_R,LR-SA,np_R,0.459/0.636,0.939/0.123,0.919/0.07,0.997/0.087
results_np_AUC,RF,AUC,0.5638300793821069,0.44726146589425964,0.4828272426041145,0.7166183912257
results_np_AUC,RF-FA,AUC,0.0,0.7062873514528427,0.6030349233593172,0.0
results_np_AUC,RF-BW,AUC,0.0,0.6272253451789435,0.5887639753033446,0.0
results_np_AUC,RF-CORAL,AUC,0.0,0.593846598584938,0.46756900045293087,0.0
results_np_AUC,RF-SA,AUC,0.0,0.6432163464840978,0.4627880521585735,0.0
results_np_AUC,LR,AUC,0.5791633650384991,0.6035136125294804,0.5006037807814251,0.727517573787008
results_np_AUC,LR-FA,AUC,0.0,0.7270052435142995,0.5661858923931441,0.0
results_np_AUC,LR-BW,AUC,0.0,0.6949831703798686,0.5364743855634222,0.0
results_np_AUC,LR-CORAL,AUC,0.0,0.5386737801387586,0.4910098452883263,0.0
results_np_AUC,LR-SA,AUC,0.0,0.6035136125294804,0.5006037807814251,0.0
