,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.577,0.548,0.349,0.648
results_f,RF-FA,f,0.452,0.617,0.463,0.526
results_f,RF-BW,f,0.582,0.598,0.464,0.658
results_f,RF-CORAL,f,0.636,0.517,0.501,0.604
results_f,RF-SA,f,0.701,0.487,0.677,0.547
results_f,LR,f,0.499,0.631,0.22,0.677
results_f,LR-FA,f,0.176,0.592,0.289,0.539
results_f,LR-BW,f,0.532,0.584,0.252,0.673
results_f,LR-CORAL,f,0.339,0.555,0.111,0.666
results_f,LR-SA,f,0.378,0.6,0.54,0.687
results_f_std,RF,f_std,0.009,0.013,0.051,0.01
results_f_std,RF-FA,f_std,0.009,0.006,0.003,0.016
results_f_std,RF-BW,f_std,0.007,0.009,0.005,0.01
results_f_std,RF-CORAL,f_std,0.023,0.02,0.073,0.042
results_f_std,RF-SA,f_std,0.004,0.022,0.009,0.017
results_f_std,LR,f_std,0.014,0.007,0.011,0.002
results_f_std,LR-FA,f_std,0.004,0.002,0.015,0.009
results_f_std,LR-BW,f_std,0.01,0.005,0.005,0.004
results_f_std,LR-CORAL,f_std,0.043,0.031,0.011,0.01
results_f_std,LR-SA,f_std,0.05,0.013,0.032,0.003
results_np,RF,np,0.638/0.347,0.723/0.279,0.358/0.315,0.69/0.583
results_np,RF-FA,np,0.491/0.305,0.639/0.582,0.491/0.359,0.676/0.296
results_np,RF-BW,np,0.644/0.35,0.617/0.569,0.494/0.352,0.705/0.587
results_np,RF-CORAL,np,0.718/0.329,0.753/0.152,0.56/0.281,0.761/0.363
results_np,RF-SA,np,0.862/0.102,0.732/0.108,0.829/0.11,0.766/0.209
results_np,LR,np,0.537/0.358,0.734/0.472,0.189/0.338,0.712/0.623
results_np,LR-FA,np,0.133/0.337,0.606/0.569,0.274/0.345,0.498/0.603
results_np,LR-BW,np,0.587/0.328,0.592/0.572,0.225/0.352,0.711/0.613
results_np,LR-CORAL,np,0.334/0.357,0.595/0.494,0.049/0.341,0.693/0.626
results_np,LR-SA,np,0.384/0.357,0.637/0.543,0.608/0.284,0.747/0.595
results_np_std,RF,np_std,0.012/0.347,0.013/0.279,0.068/0.315,0.011/0.583
results_np_std,RF-FA,np_std,0.011/0.305,0.007/0.582,0.004/0.359,0.019/0.296
results_np_std,RF-BW,np_std,0.009/0.35,0.012/0.569,0.006/0.352,0.021/0.587
results_np_std,RF-CORAL,np_std,0.032/0.329,0.011/0.152,0.101/0.281,0.008/0.363
results_np_std,RF-SA,np_std,0.014/0.102,0.012/0.108,0.018/0.11,0.007/0.209
results_np_std,LR,np_std,0.019/0.358,0.015/0.472,0.014/0.338,0.001/0.623
results_np_std,LR-FA,np_std,0.005/0.337,0.003/0.569,0.02/0.345,0.015/0.603
results_np_std,LR-BW,np_std,0.014/0.328,0.007/0.572,0.006/0.352,0.007/0.613
results_np_std,LR-CORAL,np_std,0.055/0.357,0.061/0.494,0.014/0.341,0.015/0.626
results_np_std,LR-SA,np_std,0.063/0.357,0.02/0.543,0.045/0.284,0.005/0.595
results_np_P,RF,np_P,0.825/0.247,0.624/0.484,0.765/0.202,0.732/0.542
results_np_P,RF-FA,np_P,0.775/0.203,0.735/0.506,0.839/0.235,0.606/0.395
results_np_P,RF-BW,np_P,0.827/0.25,0.722/0.489,0.83/0.232,0.735/0.558
results_np_P,RF-CORAL,np_P,0.817/0.258,0.62/0.714,0.775/0.197,0.656/0.643
results_np_P,RF-SA,np_P,0.791/0.28,0.605/0.367,0.783/0.16,0.631/0.775
results_np_P,LR,np_P,0.836/0.239,0.676/0.577,0.773/0.209,0.765/0.57
results_np_P,LR-FA,np_P,0.743/0.207,0.723/0.484,0.815/0.216,0.796/0.466
results_np_P,LR-BW,np_P,0.808/0.227,0.726/0.479,0.839/0.218,0.756/0.568
results_np_P,LR-CORAL,np_P,0.848/0.226,0.658/0.451,0.672/0.208,0.774/0.556
results_np_P,LR-SA,np_P,0.842/0.228,0.699/0.49,0.782/0.203,0.737/0.61
results_np_R,RF,np_R,0.521/0.586,0.861/0.2,0.237/0.723,0.653/0.632
results_np_R,RF-FA,np_R,0.36/0.609,0.565/0.686,0.347/0.752,0.763/0.237
results_np_R,RF-BW,np_R,0.527/0.587,0.54/0.68,0.352/0.732,0.679/0.621
results_np_R,RF-CORAL,np_R,0.643/0.461,0.96/0.092,0.452/0.509,0.907/0.262
results_np_R,RF-SA,np_R,0.947/0.068,0.928/0.065,0.881/0.087,0.973/0.123
results_np_R,LR,np_R,0.396/0.71,0.804/0.405,0.108/0.882,0.665/0.686
results_np_R,LR-FA,np_R,0.073/0.906,0.522/0.692,0.165/0.86,0.363/0.856
results_np_R,LR-BW,np_R,0.461/0.592,0.501/0.708,0.13/0.906,0.671/0.666
results_np_R,LR-CORAL,np_R,0.21/0.858,0.551/0.558,0.026/0.954,0.627/0.718
results_np_R,LR-SA,np_R,0.252/0.823,0.586/0.611,0.501/0.476,0.758/0.582
results_np_AUC,RF,AUC,0.5837087892440821,0.5539363565589723,0.4745315502157381,0.689696723375999
results_np_AUC,RF-FA,AUC,0.0,0.683099397797266,0.5739684855419677,0.0
results_np_AUC,RF-BW,AUC,0.0,0.670026389302315,0.5526767265012277,0.0
results_np_AUC,RF-CORAL,AUC,0.0,0.5809081125638267,0.469425445183437,0.0
results_np_AUC,RF-SA,AUC,0.0,0.5353650997183614,0.48205706929843384,0.0
results_np_AUC,LR,AUC,0.5746739135617058,0.636557484029034,0.48060826241388355,0.7244693517734069
results_np_AUC,LR-FA,AUC,0.0,0.6847136674833421,0.5274281627690767,0.0
results_np_AUC,LR-BW,AUC,0.0,0.6974675428754609,0.5553737157024006,0.0
results_np_AUC,LR-CORAL,AUC,0.0,0.5702379044260756,0.4883654914300699,0.0
results_np_AUC,LR-SA,AUC,0.0,0.636557484029034,0.4806080717061193,0.0
