,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.592,0.5,0.377,0.645
results_f,RF-FA,f,0.186,0.595,0.596,0.551
results_f,RF-BW,f,0.577,0.575,0.583,0.654
results_f,RF-CORAL,f,0.644,0.512,0.521,0.62
results_f,RF-SA,f,0.697,0.481,0.669,0.541
results_f,LR,f,0.529,0.51,0.331,0.677
results_f,LR-FA,f,0.399,0.676,0.577,0.474
results_f,LR-BW,f,0.416,0.64,0.598,0.653
results_f,LR-CORAL,f,0.592,0.553,0.188,0.665
results_f,LR-SA,f,0.506,0.5,0.535,0.683
results_f_std,RF,f_std,0.008,0.022,0.035,0.011
results_f_std,RF-FA,f_std,0.017,0.005,0.002,0.012
results_f_std,RF-BW,f_std,0.008,0.009,0.002,0.007
results_f_std,RF-CORAL,f_std,0.032,0.028,0.055,0.034
results_f_std,RF-SA,f_std,0.003,0.009,0.005,0.014
results_f_std,LR,f_std,0.008,0.016,0.028,0.001
results_f_std,LR-FA,f_std,0.021,0.001,0.004,0.022
results_f_std,LR-BW,f_std,0.025,0.002,0.001,0.011
results_f_std,LR-CORAL,f_std,0.008,0.015,0.02,0.011
results_f_std,LR-SA,f_std,0.024,0.003,0.03,0.002
results_np,RF,np,0.656/0.352,0.754/0.108,0.394/0.312,0.687/0.579
results_np,RF-FA,np,0.142/0.349,0.62/0.558,0.662/0.35,0.762/0.226
results_np,RF-BW,np,0.637/0.353,0.613/0.516,0.645/0.349,0.709/0.57
results_np,RF-CORAL,np,0.74/0.285,0.754/0.141,0.585/0.282,0.759/0.405
results_np,RF-SA,np,0.879/0.016,0.739/0.082,0.821/0.1,0.769/0.189
results_np,LR,np,0.574/0.359,0.55/0.448,0.332/0.33,0.712/0.623
results_np,LR-FA,np,0.411/0.356,0.74/0.576,0.645/0.322,0.405/0.58
results_np,LR-BW,np,0.435/0.348,0.677/0.582,0.669/0.334,0.697/0.585
results_np,LR-CORAL,np,0.657/0.349,0.664/0.382,0.146/0.342,0.691/0.625
results_np,LR-SA,np,0.545/0.36,0.532/0.45,0.603/0.283,0.728/0.615
results_np_std,RF,np_std,0.011/0.352,0.003/0.108,0.046/0.312,0.013/0.579
results_np_std,RF-FA,np_std,0.022/0.349,0.005/0.558,0.002/0.35,0.004/0.226
results_np_std,RF-BW,np_std,0.009/0.353,0.007/0.516,0.003/0.349,0.015/0.57
results_np_std,RF-CORAL,np_std,0.064/0.285,0.01/0.141,0.073/0.282,0.008/0.405
results_np_std,RF-SA,np_std,0.001/0.016,0.005/0.082,0.006/0.1,0.004/0.189
results_np_std,LR,np_std,0.01/0.359,0.026/0.448,0.037/0.33,0.002/0.623
results_np_std,LR-FA,np_std,0.026/0.356,0.003/0.576,0.005/0.322,0.035/0.58
results_np_std,LR-BW,np_std,0.033/0.348,0.003/0.582,0.002/0.334,0.016/0.585
results_np_std,LR-CORAL,np_std,0.011/0.349,0.034/0.382,0.025/0.342,0.017/0.625
results_np_std,LR-SA,np_std,0.03/0.36,0.005/0.45,0.043/0.283,0.005/0.615
results_np_P,RF,np_P,0.828/0.253,0.615/0.607,0.763/0.202,0.729/0.538
results_np_P,RF-FA,np_P,0.826/0.214,0.711/0.486,0.827/0.253,0.631/0.702
results_np_P,RF-BW,np_P,0.829/0.25,0.675/0.463,0.825/0.249,0.723/0.557
results_np_P,RF-CORAL,np_P,0.812/0.254,0.618/0.578,0.776/0.2,0.665/0.637
results_np_P,RF-SA,np_P,0.789/0.189,0.605/0.367,0.779/0.138,0.63/0.866
results_np_P,LR,np_P,0.836/0.244,0.612/0.399,0.783/0.21,0.766/0.571
results_np_P,LR-FA,np_P,0.838/0.228,0.725/0.597,0.808/0.233,0.76/0.437
results_np_P,LR-BW,np_P,0.825/0.225,0.732/0.531,0.817/0.245,0.733/0.548
results_np_P,LR-CORAL,np_P,0.826/0.252,0.625/0.439,0.78/0.211,0.774/0.554
results_np_P,LR-SA,np_P,0.838/0.242,0.607/0.394,0.781/0.202,0.755/0.586
results_np_R,RF,np_R,0.543/0.578,0.972/0.062,0.267/0.691,0.65/0.627
results_np_R,RF-FA,np_R,0.078/0.939,0.549/0.657,0.552/0.568,0.96/0.136
results_np_R,RF-BW,np_R,0.517/0.601,0.562/0.583,0.53/0.582,0.696/0.587
results_np_R,RF-CORAL,np_R,0.692/0.393,0.965/0.081,0.476/0.489,0.886/0.306
results_np_R,RF-SA,np_R,0.992/0.008,0.949/0.047,0.868/0.079,0.987/0.107
results_np_R,LR,np_R,0.437/0.678,0.501/0.511,0.211/0.781,0.665/0.686
results_np_R,LR-FA,np_R,0.273/0.803,0.756/0.557,0.537/0.524,0.277/0.865
results_np_R,LR-BW,np_R,0.296/0.765,0.63/0.645,0.566/0.525,0.664/0.627
results_np_R,LR-CORAL,np_R,0.546/0.571,0.711/0.343,0.081/0.915,0.624/0.718
results_np_R,LR-SA,np_R,0.405/0.707,0.474/0.526,0.494/0.48,0.702/0.648
results_np_AUC,RF,AUC,0.5877753462537845,0.592872026194674,0.46666104078762305,0.6919764499805372
results_np_AUC,RF-FA,AUC,0.0,0.648338218121036,0.5848399723473742,0.0
results_np_AUC,RF-BW,AUC,0.0,0.5966529663636572,0.5743098524398675,0.0
results_np_AUC,RF-CORAL,AUC,0.0,0.49309069676917083,0.4836285012753582,0.0
results_np_AUC,RF-SA,AUC,0.0,0.586788461978797,0.457130134210589,0.0
results_np_AUC,LR,AUC,0.5797299578059072,0.5680597852219907,0.47929295096426616,0.7244693517734069
results_np_AUC,LR-FA,AUC,0.0,0.6852116868545783,0.5273415814441346,0.0
results_np_AUC,LR-BW,AUC,0.0,0.7013601080759279,0.5581092278719398,0.0
results_np_AUC,LR-CORAL,AUC,0.0,0.5615769468550363,0.48520451023862315,0.0
results_np_AUC,LR-SA,AUC,0.0,0.5680597852219907,0.47929295096426616,0.0
