,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.687,0.527,0.254,0.689
results_f,RF-FA,f,0.651,0.7,0.718,0.458
results_f,RF-BW,f,0.692,0.697,0.71,0.679
results_f,RF-CORAL,f,0.564,0.55,0.352,0.702
results_f,RF-SA,f,0.568,0.595,0.682,0.626
results_f,LR,f,0.636,0.471,0.28,0.679
results_f,LR-FA,f,0.682,0.665,0.679,0.644
results_f,LR-BW,f,0.708,0.666,0.706,0.642
results_f,LR-CORAL,f,0.562,0.495,0.274,0.684
results_f,LR-SA,f,0.516,0.553,0.69,0.55
results_f_std,RF,f_std,0.009,0.008,0.041,0.002
results_f_std,RF-FA,f_std,0.002,0.002,0.002,0.0
results_f_std,RF-BW,f_std,0.007,0.001,0.001,0.004
results_f_std,RF-CORAL,f_std,0.04,0.022,0.05,0.002
results_f_std,RF-SA,f_std,0.06,0.019,0.003,0.02
results_f_std,LR,f_std,0.002,0.007,0.026,0.001
results_f_std,LR-FA,f_std,0.002,0.002,0.001,0.002
results_f_std,LR-BW,f_std,0.003,0.001,0.002,0.005
results_f_std,LR-CORAL,f_std,0.024,0.006,0.03,0.004
results_f_std,LR-SA,f_std,0.042,0.007,0.003,0.002
results_np,RF,np,0.789/0.309,0.736/0.205,0.229/0.349,0.794/0.528
results_np,RF-FA,np,0.788/0.14,0.776/0.582,0.851/0.223,0.755/0.0
results_np,RF-BW,np,0.793/0.314,0.776/0.575,0.844/0.211,0.792/0.505
results_np,RF-CORAL,np,0.624/0.341,0.712/0.302,0.352/0.35,0.785/0.575
results_np,RF-SA,np,0.63/0.336,0.775/0.318,0.841/0.085,0.792/0.371
results_np,LR,np,0.72/0.319,0.755/0.031,0.264/0.341,0.796/0.499
results_np,LR-FA,np,0.828/0.137,0.753/0.53,0.784/0.283,0.753/0.475
results_np,LR-BW,np,0.847/0.187,0.772/0.502,0.863/0.117,0.786/0.419
results_np,LR-CORAL,np,0.618/0.352,0.757/0.091,0.256/0.341,0.728/0.618
results_np,LR-SA,np,0.559/0.358,0.753/0.244,0.849/0.098,0.775/0.202
results_np_std,RF,np_std,0.01/0.309,0.013/0.205,0.053/0.349,0.002/0.528
results_np_std,RF-FA,np_std,0.003/0.14,0.002/0.582,0.002/0.223,0.001/0.0
results_np_std,RF-BW,np_std,0.008/0.314,0.001/0.575,0.003/0.211,0.002/0.505
results_np_std,RF-CORAL,np_std,0.054/0.341,0.055/0.302,0.063/0.35,0.004/0.575
results_np_std,RF-SA,np_std,0.081/0.336,0.004/0.318,0.004/0.085,0.007/0.371
results_np_std,LR,np_std,0.003/0.319,0.002/0.031,0.034/0.341,0.002/0.499
results_np_std,LR-FA,np_std,0.004/0.137,0.001/0.53,0.001/0.283,0.002/0.475
results_np_std,LR-BW,np_std,0.009/0.187,0.001/0.502,0.005/0.117,0.002/0.419
results_np_std,LR-CORAL,np_std,0.033/0.352,0.004/0.091,0.038/0.341,0.006/0.618
results_np_std,LR-SA,np_std,0.054/0.358,0.003/0.244,0.006/0.098,0.001/0.202
results_np_P,RF,np_P,0.813/0.282,0.617/0.5,0.827/0.217,0.703/0.748
results_np_P,RF-FA,np_P,0.775/0.15,0.726/0.667,0.803/0.324,0.606/0.0
results_np_P,RF-BW,np_P,0.815/0.289,0.723/0.667,0.8/0.294,0.696/0.752
results_np_P,RF-CORAL,np_P,0.822/0.242,0.633/0.522,0.829/0.222,0.723/0.693
results_np_P,RF-SA,np_P,0.822/0.242,0.65/0.778,0.783/0.149,0.664/0.884
results_np_P,LR,np_P,0.812/0.251,0.609/0.751,0.799/0.213,0.694/0.778
results_np_P,LR-FA,np_P,0.786/0.188,0.701/0.617,0.805/0.261,0.68/0.617
results_np_P,LR-BW,np_P,0.798/0.284,0.692/0.672,0.793/0.278,0.672/0.778
results_np_P,LR-CORAL,np_P,0.829/0.247,0.615/0.712,0.799/0.213,0.757/0.586
results_np_P,LR-SA,np_P,0.837/0.243,0.63/0.605,0.787/0.186,0.634/0.964
results_np_R,RF,np_R,0.766/0.342,0.911/0.13,0.134/0.895,0.911/0.408
results_np_R,RF-FA,np_R,0.802/0.131,0.833/0.516,0.905/0.169,0.999/0.0
results_np_R,RF-BW,np_R,0.773/0.344,0.837/0.505,0.894/0.165,0.919/0.38
results_np_R,RF-CORAL,np_R,0.507/0.586,0.832/0.248,0.226/0.826,0.858/0.492
results_np_R,RF-SA,np_R,0.521/0.57,0.959/0.203,0.909/0.06,0.98/0.236
results_np_R,LR,np_R,0.647/0.441,0.994/0.016,0.159/0.851,0.932/0.367
results_np_R,LR-FA,np_R,0.875/0.108,0.813/0.465,0.764/0.31,0.844/0.387
results_np_R,LR-BW,np_R,0.904/0.143,0.873/0.401,0.948/0.075,0.947/0.287
results_np_R,LR-CORAL,np_R,0.495/0.617,0.986/0.049,0.153/0.856,0.701/0.653
results_np_R,LR-SA,np_R,0.423/0.69,0.935/0.153,0.922/0.067,0.997/0.113
results_np_AUC,RF,AUC,0.5937118882452501,0.544896160098917,0.49195222770507047,0.7342379731184028
results_np_AUC,RF-FA,AUC,0.0,0.7299275295949443,0.5863687811390021,0.0
results_np_AUC,RF-BW,AUC,0.0,0.7266875415016143,0.5609122505900022,0.0
