,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.69,0.525,0.349,0.691
results_f,RF-FA,f,0.386,0.642,0.649,0.464
results_f,RF-BW,f,0.673,0.605,0.658,0.685
results_f,RF-CORAL,f,0.513,0.518,0.41,0.692
results_f,RF-SA,f,0.583,0.542,0.679,0.572
results_f,LR,f,0.626,0.477,0.22,0.681
results_f,LR-FA,f,0.143,0.638,0.721,0.476
results_f,LR-BW,f,0.685,0.544,0.705,0.572
results_f,LR-CORAL,f,0.48,0.529,0.256,0.68
results_f,LR-SA,f,0.562,0.523,0.691,0.532
results_f_std,RF,f_std,0.006,0.008,0.093,0.003
results_f_std,RF-FA,f_std,0.009,0.002,0.004,0.003
results_f_std,RF-BW,f_std,0.01,0.005,0.009,0.005
results_f_std,RF-CORAL,f_std,0.073,0.022,0.087,0.004
results_f_std,RF-SA,f_std,0.096,0.047,0.005,0.021
results_f_std,LR,f_std,0.005,0.011,0.007,0.001
results_f_std,LR-FA,f_std,0.001,0.001,0.002,0.002
results_f_std,LR-BW,f_std,0.015,0.007,0.004,0.008
results_f_std,LR-CORAL,f_std,0.036,0.006,0.021,0.004
results_f_std,LR-SA,f_std,0.016,0.017,0.002,0.008
results_np,RF,np,0.79/0.316,0.732/0.206,0.354/0.333,0.791/0.536
results_np,RF-FA,np,0.395/0.352,0.791/0.412,0.742/0.299,0.747/0.029
results_np,RF-BW,np,0.767/0.322,0.776/0.34,0.757/0.286,0.788/0.525
results_np,RF-CORAL,np,0.558/0.349,0.63/0.346,0.43/0.337,0.773/0.566
results_np,RF-SA,np,0.652/0.327,0.765/0.199,0.835/0.098,0.718/0.347
results_np,LR,np,0.707/0.324,0.756/0.046,0.187/0.343,0.797/0.502
results_np,LR-FA,np,0.087/0.349,0.791/0.403,0.837/0.285,0.743/0.064
results_np,LR-BW,np,0.792/0.284,0.77/0.197,0.873/0.081,0.775/0.258
results_np,LR-CORAL,np,0.513/0.358,0.754/0.183,0.234/0.342,0.721/0.616
results_np,LR-SA,np,0.618/0.354,0.755/0.165,0.848/0.104,0.771/0.163
results_np_std,RF,np_std,0.008/0.316,0.007/0.206,0.124/0.333,0.002/0.536
results_np_std,RF-FA,np_std,0.011/0.352,0.001/0.412,0.004/0.299,0.004/0.029
results_np_std,RF-BW,np_std,0.012/0.322,0.002/0.34,0.012/0.286,0.003/0.525
results_np_std,RF-CORAL,np_std,0.092/0.349,0.074/0.346,0.112/0.337,0.01/0.566
results_np_std,RF-SA,np_std,0.128/0.327,0.006/0.199,0.005/0.098,0.059/0.347
results_np_std,LR,np_std,0.007/0.324,0.001/0.046,0.009/0.343,0.003/0.502
results_np_std,LR-FA,np_std,0.002/0.349,0.0/0.403,0.004/0.285,0.002/0.064
results_np_std,LR-BW,np_std,0.02/0.284,0.001/0.197,0.004/0.081,0.002/0.258
results_np_std,LR-CORAL,np_std,0.045/0.358,0.006/0.183,0.028/0.342,0.006/0.616
results_np_std,LR-SA,np_std,0.021/0.354,0.006/0.165,0.006/0.104,0.002/0.163
results_np_P,RF,np_P,0.815/0.287,0.616/0.47,0.806/0.213,0.706/0.733
results_np_P,RF-FA,np_P,0.833/0.226,0.671/0.821,0.806/0.246,0.605/0.314
results_np_P,RF-BW,np_P,0.816/0.275,0.654/0.763,0.803/0.246,0.702/0.725
results_np_P,RF-CORAL,np_P,0.826/0.238,0.606/0.398,0.811/0.22,0.719/0.666
results_np_P,RF-SA,np_P,0.823/0.245,0.631/0.77,0.783/0.155,0.637/0.568
results_np_P,LR,np_P,0.813/0.249,0.611/0.698,0.796/0.212,0.695/0.783
results_np_P,LR-FA,np_P,0.832/0.213,0.67/0.831,0.812/0.331,0.606/0.37
results_np_P,LR-BW,np_P,0.807/0.271,0.631/0.848,0.792/0.307,0.641/0.84
results_np_P,LR-CORAL,np_P,0.837/0.238,0.623/0.622,0.8/0.213,0.757/0.578
results_np_P,LR-SA,np_P,0.83/0.247,0.622/0.623,0.787/0.19,0.628/0.954
results_np_R,RF,np_R,0.766/0.352,0.902/0.133,0.239/0.774,0.9/0.422
results_np_R,RF-FA,np_R,0.259/0.806,0.961/0.275,0.688/0.38,0.977/0.015
results_np_R,RF-BW,np_R,0.723/0.39,0.956/0.219,0.717/0.344,0.899/0.411
results_np_R,RF-CORAL,np_R,0.429/0.662,0.672/0.328,0.302/0.732,0.837/0.494
results_np_R,RF-SA,np_R,0.565/0.525,0.972/0.122,0.894/0.072,0.833/0.272
results_np_R,LR,np_R,0.626/0.463,0.993/0.024,0.106/0.898,0.933/0.369
results_np_R,LR-FA,np_R,0.046/0.965,0.965/0.266,0.865/0.25,0.961/0.035
results_np_R,LR-BW,np_R,0.778/0.303,0.987/0.111,0.972/0.048,0.981/0.153
results_np_R,LR-CORAL,np_R,0.372/0.729,0.955/0.108,0.137/0.87,0.688/0.659
results_np_R,LR-SA,np_R,0.493/0.621,0.963/0.096,0.919/0.072,0.997/0.089
results_np_AUC,RF,AUC,0.582720255548404,0.5701005197719414,0.4896950106081193,0.729106083850434
results_np_AUC,RF-FA,AUC,0.0,0.6898741785542555,0.5528543707835706,0.0
results_np_AUC,RF-BW,AUC,0.0,0.6568503423167632,0.5432019833607475,0.0
results_np_AUC,RF-CORAL,AUC,0.0,0.500993176562178,0.5007147727001836,0.0
results_np_AUC,RF-SA,AUC,0.0,0.6789120280264694,0.5055888817373477,0.0
results_np_AUC,LR,AUC,0.584060168299602,0.5817953884551095,0.5046755822546426,0.727517573787008
results_np_AUC,LR-FA,AUC,0.0,0.7031060380555492,0.5911308493647048,0.0
results_np_AUC,LR-BW,AUC,0.0,0.7003239988093329,0.5673215571288946,0.0
results_np_AUC,LR-CORAL,AUC,0.0,0.5691989329791862,0.49478318911058666,0.0
results_np_AUC,LR-SA,AUC,0.0,0.5824823117257802,0.5046757729624067,0.0
